generator,resolution,acc,real_acc,fake_acc
ADM,64,0.6245,0.372,0.877
ADM,128,0.559,0.118,1.0
ADM,192,0.847,0.897,0.797
ADM,384,0.9135,0.989,0.838
ADM,512,0.8705,0.994,0.747
BigGAN,64,0.619,0.393,0.845
BigGAN,128,0.57,0.14,1.0
BigGAN,192,0.9445,0.89,0.999
BigGAN,384,0.993,0.99,0.996
BigGAN,512,0.991,0.992,0.99
GLIDE,64,0.6505,0.328,0.973
GLIDE,128,0.5405,0.081,1.0
GLIDE,192,0.939,0.881,0.997
GLIDE,384,0.993,0.987,0.999
GLIDE,512,0.992,0.993,0.991
Midjourney,64,0.6485,0.39,0.907
Midjourney,128,0.5645,0.13,0.999
Midjourney,192,0.939,0.882,0.996
Midjourney,384,0.9935,0.989,0.998
Midjourney,512,0.9945,0.991,0.998
Stable_Diffusion_v1.4,64,0.599,0.33,0.868
Stable_Diffusion_v1.4,128,0.5425,0.085,1.0
Stable_Diffusion_v1.4,192,0.941,0.884,0.998
Stable_Diffusion_v1.4,384,0.994,0.988,1.0
Stable_Diffusion_v1.4,512,0.9975,0.995,1.0
VQDM,64,0.6225,0.328,0.917
VQDM,128,0.5405,0.081,1.0
VQDM,192,0.7955,0.881,0.71
VQDM,384,0.847,0.987,0.707
VQDM,512,0.772,0.993,0.551
Wukong,64,0.603,0.328,0.878
Wukong,128,0.5405,0.081,1.0
Wukong,192,0.937,0.881,0.993
Wukong,384,0.9935,0.987,1.0
Wukong,512,0.993,0.993,0.993
