generator,split,n,mean_bitplane_lsb,mean_freq_radial,mean_color_manifold,mean_hf_noise,mean_jpeg_quant,mean_texture_geometry
ADM,correct_real,998,0.15354084968566895,0.25495776534080505,0.26564401388168335,0.2985319495201111,0.7192386388778687,0.3098352551460266
ADM,FP_predfake,2,0.2587064802646637,0.40952450037002563,0.330935537815094,0.6569181680679321,0.4816022217273712,0.5058398246765137
ADM,correct_fake,1000,0.3304874002933502,0.622050404548645,0.440861314535141,0.2415405809879303,0.26505047082901,0.454487681388855
BigGAN,correct_real,996,0.1477043181657791,0.2614445090293884,0.25347810983657837,0.2903583347797394,0.7121133804321289,0.31201091408729553
BigGAN,FP_predfake,4,0.49946480989456177,0.455012708902359,0.42200976610183716,0.3526906371116638,0.573294997215271,0.3294125199317932
BigGAN,correct_fake,1000,0.29544538259506226,0.7438501119613647,0.44651591777801514,0.20027072727680206,0.23154763877391815,0.3736186921596527
GLIDE,correct_real,996,0.14667624235153198,0.2522786855697632,0.25303325057029724,0.30821725726127625,0.7178964018821716,0.31679025292396545
GLIDE,FP_predfake,4,0.334033727645874,0.45720571279525757,0.39908021688461304,0.3734223246574402,0.4989548623561859,0.39325737953186035
GLIDE,correct_fake,1000,0.6344399452209473,0.6117466688156128,0.7467374801635742,0.175967738032341,0.18297219276428223,0.2710472345352173
Midjourney,correct_real,998,0.15045805275440216,0.26037707924842834,0.26184582710266113,0.28049251437187195,0.704698920249939,0.3001633286476135
Midjourney,FP_predfake,2,0.259077787399292,0.5229920148849487,0.4001818299293518,0.5088387131690979,0.5517823100090027,0.5936623811721802
Midjourney,correct_fake,996,0.41847869753837585,0.5755242705345154,0.4308922588825226,0.26376304030418396,0.2615756690502167,0.4226802885532379
Midjourney,FN_predreal,4,0.3893585801124573,0.3088819086551666,0.3901408314704895,0.2532884478569031,0.670199990272522,0.34264838695526123
Stable_Diffusion_v1.4,correct_real,997,0.146393820643425,0.25201666355133057,0.25301286578178406,0.30984222888946533,0.7189943790435791,0.3177770674228668
Stable_Diffusion_v1.4,FP_predfake,3,0.3824983835220337,0.45713043212890625,0.37311768531799316,0.4341142177581787,0.5364879965782166,0.4426308572292328
Stable_Diffusion_v1.4,correct_fake,1000,0.2714751064777374,0.5827885270118713,0.42624327540397644,0.39287257194519043,0.33411458134651184,0.5120119452476501
VQDM,correct_real,996,0.14667624235153198,0.2522786855697632,0.25303325057029724,0.3082171678543091,0.7178963422775269,0.31679022312164307
VQDM,FP_predfake,4,0.334033727645874,0.45720571279525757,0.39908021688461304,0.3734223246574402,0.4989548623561859,0.39325737953186035
VQDM,correct_fake,999,0.27310046553611755,0.5428811311721802,0.6804591417312622,0.221719890832901,0.2363138496875763,0.38349848985671997
VQDM,FN_predreal,1,0.1515258401632309,0.3709498941898346,0.4282929301261902,0.16955509781837463,0.682853102684021,0.6340174674987793
Wukong,correct_real,996,0.14667624235153198,0.2522786855697632,0.25303325057029724,0.30821725726127625,0.7178964018821716,0.31679025292396545
Wukong,FP_predfake,4,0.334033727645874,0.45720571279525757,0.39908021688461304,0.3734223246574402,0.4989548623561859,0.39325737953186035
Wukong,correct_fake,993,0.27597668766975403,0.5404112935066223,0.40277865529060364,0.4098456799983978,0.32946157455444336,0.5365328192710876
Wukong,FN_predreal,7,0.18421101570129395,0.4327990412712097,0.28854984045028687,0.30796343088150024,0.5701435804367065,0.35285255312919617
