only_concept,generator,acc,auc
bitplane_lsb,ADM,0.5,0.9361929999999999
bitplane_lsb,BigGAN,0.5,0.9343
bitplane_lsb,GLIDE,0.5,0.9814700000000001
bitplane_lsb,Midjourney,0.5,0.9529795
bitplane_lsb,Stable_Diffusion_v1.4,0.5,0.9443780000000002
bitplane_lsb,VQDM,0.5,0.9500235000000001
bitplane_lsb,Wukong,0.5,0.946516
freq_radial,ADM,0.5,0.9953509999999999
freq_radial,BigGAN,0.5,0.99914
freq_radial,GLIDE,0.5,0.999999
freq_radial,Midjourney,0.5,0.9886510000000001
freq_radial,Stable_Diffusion_v1.4,0.5,0.9970724999999999
freq_radial,VQDM,0.5,0.999907
freq_radial,Wukong,0.5,0.9936699999999999
color_manifold,ADM,0.547,0.7034530000000001
color_manifold,BigGAN,0.503,0.5975975
color_manifold,GLIDE,0.4995,0.160396
color_manifold,Midjourney,0.5325,0.694314
color_manifold,Stable_Diffusion_v1.4,0.5415,0.7998869999999999
color_manifold,VQDM,0.522,0.32399900000000004
color_manifold,Wukong,0.556,0.818964
hf_noise,ADM,0.5,0.6008875
hf_noise,BigGAN,0.5,0.5168395
hf_noise,GLIDE,0.5,0.46064299999999997
hf_noise,Midjourney,0.5,0.670971
hf_noise,Stable_Diffusion_v1.4,0.5,0.742294
hf_noise,VQDM,0.5,0.5727599999999999
hf_noise,Wukong,0.5,0.7746985
jpeg_quant,ADM,0.5,0.97995
jpeg_quant,BigGAN,0.5,0.99753
jpeg_quant,GLIDE,0.5,0.99981
jpeg_quant,Midjourney,0.5,0.9795540000000001
jpeg_quant,Stable_Diffusion_v1.4,0.5005,0.943176
jpeg_quant,VQDM,0.5005,0.990028
jpeg_quant,Wukong,0.5,0.95021
texture_geometry,ADM,0.5,0.960052
texture_geometry,BigGAN,0.5,0.968642
texture_geometry,GLIDE,0.5,0.9922719999999999
texture_geometry,Midjourney,0.5005,0.969767
texture_geometry,Stable_Diffusion_v1.4,0.5065,0.921084
texture_geometry,VQDM,0.502,0.980858
texture_geometry,Wukong,0.5005,0.8725134999999999
