zeroed_concept,generator,baseline_acc,new_acc,delta_acc,new_real_acc,new_fake_acc,new_auc
bitplane_lsb,ADM,0.999,0.9995,0.000500000000000056,0.999,1.0,1.0
bitplane_lsb,BigGAN,0.998,0.9995,0.0015000000000000568,0.999,1.0,1.0
bitplane_lsb,GLIDE,0.998,0.999,0.0010000000000000009,0.998,1.0,1.0
bitplane_lsb,Midjourney,0.997,0.9965,-0.0004999999999999449,0.998,0.995,0.998325
bitplane_lsb,Stable_Diffusion_v1.4,0.9985,0.9985,0.0,0.998,0.999,0.999998
bitplane_lsb,VQDM,0.9975,0.998,0.0004999999999999449,0.998,0.998,0.99999
bitplane_lsb,Wukong,0.9945,0.991,-0.0035000000000000586,0.998,0.984,0.99988
freq_radial,ADM,0.999,0.784,-0.21499999999999997,0.999,0.569,0.999412
freq_radial,BigGAN,0.998,0.6955,-0.3025,1.0,0.391,0.999997
freq_radial,GLIDE,0.998,0.956,-0.04200000000000004,1.0,0.912,0.999998
freq_radial,Midjourney,0.997,0.843,-0.15400000000000003,1.0,0.686,0.9994139999999999
freq_radial,Stable_Diffusion_v1.4,0.9985,0.7525,-0.2460000000000001,1.0,0.505,1.0
freq_radial,VQDM,0.9975,0.947,-0.0505000000000001,1.0,0.894,0.999979
freq_radial,Wukong,0.9945,0.7975,-0.19700000000000006,1.0,0.595,0.9993869999999999
color_manifold,ADM,0.999,0.9995,0.000500000000000056,0.999,1.0,0.99999
color_manifold,BigGAN,0.998,0.9995,0.0015000000000000568,0.999,1.0,1.0
color_manifold,GLIDE,0.998,0.9995,0.0015000000000000568,0.999,1.0,1.0
color_manifold,Midjourney,0.997,0.9955,-0.0014999999999999458,0.998,0.993,0.9996039999999999
color_manifold,Stable_Diffusion_v1.4,0.9985,0.999,0.0004999999999999449,0.999,0.999,0.999996
color_manifold,VQDM,0.9975,0.9965,-0.0010000000000000009,0.999,0.994,0.999983
color_manifold,Wukong,0.9945,0.991,-0.0035000000000000586,0.999,0.983,0.999902
hf_noise,ADM,0.999,0.9995,0.000500000000000056,0.999,1.0,1.0
hf_noise,BigGAN,0.998,0.999,0.0010000000000000009,0.998,1.0,1.0
hf_noise,GLIDE,0.998,0.9985,0.000500000000000056,0.997,1.0,1.0
hf_noise,Midjourney,0.997,0.997,0.0,0.998,0.996,0.999261
hf_noise,Stable_Diffusion_v1.4,0.9985,0.998,-0.000500000000000056,0.998,0.998,0.999993
hf_noise,VQDM,0.9975,0.998,0.0004999999999999449,0.997,0.999,0.999994
hf_noise,Wukong,0.9945,0.99,-0.0045000000000000595,0.997,0.983,0.9995289999999999
jpeg_quant,ADM,0.999,0.501,-0.498,0.002,1.0,0.999146
jpeg_quant,BigGAN,0.998,0.501,-0.497,0.002,1.0,0.998955
jpeg_quant,GLIDE,0.998,0.5025,-0.49550000000000005,0.005,1.0,0.99981
jpeg_quant,Midjourney,0.997,0.5025,-0.49450000000000005,0.005,1.0,0.998382
jpeg_quant,Stable_Diffusion_v1.4,0.9985,0.5025,-0.4960000000000001,0.005,1.0,0.9993335
jpeg_quant,VQDM,0.9975,0.5025,-0.4950000000000001,0.005,1.0,0.9989785
jpeg_quant,Wukong,0.9945,0.5025,-0.4920000000000001,0.005,1.0,0.998247
texture_geometry,ADM,0.999,0.99,-0.009000000000000008,0.999,0.981,0.999967
texture_geometry,BigGAN,0.998,0.9995,0.0015000000000000568,0.999,1.0,1.0
texture_geometry,GLIDE,0.998,0.9995,0.0015000000000000568,0.999,1.0,1.0
texture_geometry,Midjourney,0.997,0.989,-0.008000000000000007,1.0,0.978,0.999228
texture_geometry,Stable_Diffusion_v1.4,0.9985,0.9725,-0.026000000000000023,0.999,0.946,0.999912
texture_geometry,VQDM,0.9975,0.9845,-0.013000000000000012,0.999,0.97,0.999866
texture_geometry,Wukong,0.9945,0.937,-0.057499999999999996,0.999,0.875,0.9992270000000001
